pass_id,event_name,event_type,category,full_name,id_number,phone,organizer,valid_from,valid_to,gate,table_number,group_ref,issued_by
GPX-OPERATOR-2026-0001,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,A.A.U CHAMO INTL BUSINESS AGEMCY SERVICES LTD,AHUON-OP-001,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0002,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,A.I.A KURAWA TRAVELS AND GENERAL CONTRACTS LTD,AHUON-OP-002,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0003,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,A.J TRAVELS & TOURS SERVICES LIMITED,AHUON-OP-003,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0004,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,A.M.T GLOBAL TRAVEL &  TOURS LTD,AHUON-OP-004,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0005,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,ABU FARUK TRAVEL & TOURS LTD,AHUON-OP-005,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0006,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AHID TRAVELS & TOURS LTD,AHUON-OP-006,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0007,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AHLUL KHAIR TRAVEL AND TOURS LTD,AHUON-OP-007,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0008,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AL UMRA TRAVEL AND TOURS LTD,AHUON-OP-008,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0009,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AL-AUWAM TRAVEL AND TOURS,AHUON-OP-009,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-2,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0010,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AL-BINT TRAVEL AND TOURS LTD,AHUON-OP-010,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-2,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0011,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AL-HALAL TRAVEL & TOURS LTD,AHUON-OP-011,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-2,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0012,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,ALSALBASH TRAVELS AND TOURS LTD,AHUON-OP-012,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-2,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0013,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AN-NOOR AIR SERVICES LTD,AHUON-OP-013,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-2,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0014,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,ANISA TRAVEL & TOURS LIMITED,AHUON-OP-014,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-2,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0015,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,ARAFAT AIR SERVICES NIGERIA LTD,AHUON-OP-015,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-2,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0016,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,ASSA'ADAH TRAVEL AND TOURS LTD,AHUON-OP-016,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-2,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0017,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AZHAB TRAVEL AGENCY LIMITED,AHUON-OP-017,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-3,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0018,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AZIMAD TRAVEL & TOURS LTD,AHUON-OP-018,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-3,AHUON-OPS-2026,GatePassX CLI
