pass_id,event_name,event_type,category,full_name,id_number,phone,organizer,valid_from,valid_to,gate,table_number,group_ref,issued_by
GPX-OPERATOR-2026-0099,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AGAJI TRAVELLING AGENCY,AHUON-OP-099,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0100,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AL MARWA TRAVEL & TOURS LTD,AHUON-OP-100,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0101,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AL MUTTAHIDOON TRAVEL & TOURS LTD,AHUON-OP-101,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0102,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AL-ALAM TRAVEL AGENCY LTD,AHUON-OP-102,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0103,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AL-HARAMAIN TRAVEL & TOURS LTD,AHUON-OP-103,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0104,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AL-INABA DORO TRAVEL AND TOURS LTD,AHUON-OP-104,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0105,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AL-SAFWA GLOBAL VENTURES LTD,AHUON-OP-105,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0106,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,ALNASIM TRAVEL AND TOURS,AHUON-OP-106,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0107,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AMAMI GLOBAL LINKS LTD,AHUON-OP-107,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0108,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,AN-NOOR AIR SERVICES AND TOURS LTD,AHUON-OP-108,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0109,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,CLASSIQUE AIR SERVICES LTD,AHUON-OP-109,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
GPX-OPERATOR-2026-0110,AHUON Post Hajj Dinner 2026,DINNER,MEMBER,DALA  AIR SERVICES LTD,AHUON-OP-110,,AHUON,2026-06-28,2026-06-28,Main Entrance,T-1,AHUON-OPS-2026,GatePassX CLI
